Category,Range,Uform Discount Group,Family,Product code,Description,H,W,D,Price (inc. VAT),Price (ex. VAT)
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-QUADCORNICEBLK,quadrant end cornice block: 75 x 92 x 92,92,92,75,£94.18,£78.48
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-115597,115 x 597 slab drawerfront,115,597,18,£20.69,£17.24
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140297,140 x 297 slab drawerfront,140,297,18,£15.24,£12.70
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140397,140 x 397 slab drawerfront,140,397,18,£17.98,£14.98
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140447,140 x 447 slab drawerfront,140,447,18,£19.37,£16.14
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140497,140 x 497 slab drawerfront,140,497,18,£20.74,£17.28
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140597,140 x 597 slab drawerfront,140,597,18,£23.52,£19.60
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140797,140 x 797 slab drawerfront,140,797,18,£28.20,£23.50
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140897,140 x 897 slab drawerfront,140,897,18,£30.91,£25.76
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-140997,140 x 997 slab drawerfront,140,997,18,£33.56,£27.97
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-MANTLECORBALS,mantle corbals: 166 x 90 x 125 (2no.),166,125,90,£245.81,£204.84
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-175397,175 x 397 slab drawerfront,175,397,18,£23.00,£19.17
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-175497,175 x 497 slab drawerfront,175,497,18,£23.62,£19.68
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-175597,175 x 597 slab drawerfront,175,597,18,£26.99,£22.49
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-BRACKET,shelf bracket: 180 x 35 x 140 (1no.),180,140,35,£69.49,£57.91
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-283497,283 x 497 pan drawer,283,497,18,£34.73,£28.94
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-283597,283 x 597 pan drawer,283,597,18,£39.96,£33.30
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-283797,283 x 797 pan drawer,283,797,18,£50.42,£42.02
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-283897,283 x 897 pan drawer,283,897,18,£55.70,£46.42
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-283997,283 x 997 pan drawer,283,997,18,£60.98,£50.82
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-315457,315 x 457,315,457,18,£39.91,£33.26
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM3251108PAN,half height plain end panel: 325 x 1108 x 18,325,1108,18,£57.26,£47.72
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM325808PAN,half height plain end panel: 325 x 808 x 18,325,808,18,£54.05,£45.04
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-3251197,325 x 1197 pan drawer,325,1197,18,£99.10,£82.58
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-3251200CPANPTKT,Half Height C Shape End Panel/Post Kit For 1200 wide island,325,1200,18,£190.94,£159.12
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325497,325 x 497 pan drawer,325,497,18,£38.81,£32.34
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325597,325 x 597 pan drawer,325,597,18,£48.23,£40.19
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325600LPANPTKT,Half Height L Shape Panel/Post Kit for base unit,325,600,18,£125.06,£104.22
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325797,325 x 797 pan drawer,325,797,18,£60.89,£50.74
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325897,325 x 897 pan drawer,325,897,18,£70.50,£58.75
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325900CPANPTKT,Half Height C Shape End Panel/Post Kit For 900 wide island,325,900,18,£179.40,£149.50
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325997,325 x 997 pan drawer,325,997,18,£82.62,£68.85
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325BASECRPOST,half height internal corner post: 325 x 70 x 70,325,70,70,£62.68,£52.23
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-325EXTCRPOST,half height external corner post: 325 x 46 x 46,325,46,46,£54.32,£45.27
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-3551197,355 x 1197 pan drawer,355,1197,18,£82.61,£68.84
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-355497,355 x 497 pan drawer,355,497,18,£41.98,£34.98
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-355597,355 x 597 pan drawer,355,597,18,£48.68,£40.57
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-355797,355 x 797 pan drawer,355,797,18,£62.00,£51.67
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-355897,355 x 897 pan drawer,355,897,18,£68.66,£57.22
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-355997,355 x 997 pan drawer,355,997,18,£75.29,£62.74
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-400597,400 x 597,400,597,18,£50.76,£42.30
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-450597,450 x 597,450,597,18,£59.30,£49.42
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-495397,495 x 397,495,397,18,£45.43,£37.86
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-495497,495 x 497,495,497,18,£54.60,£45.50
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-495597,495 x 597,495,597,18,£63.76,£53.13
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-570297,570 x 297,570,297,18,£40.69,£33.91
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-570397,570 x 397,570,397,18,£51.31,£42.76
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-570447,570 x 447,570,447,18,£56.68,£47.23
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-570497,570 x 497,570,497,18,£62.04,£51.70
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-570597,570 x 597,570,597,18,£72.70,£60.58
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-645597,645 x 597,645,597,18,£80.16,£66.80
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM6851108PAN,plain end panel: 685 x 1108 x 18,685,1108,18,£107.95,£89.96
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM6851200PAN,plain end panel: 685 x 1200 x 18,685,1200,18,£123.49,£102.91
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM685808PAN,plain end panel: 685 x 808 x 18,685,808,18,£93.72,£78.10
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-6851200CPANPTKT,Full Height C Shape End Panel/Post Kit For 1200 wide island,685,1200,18,£221.54,£184.62
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685397,685 x 397,685,397,18,£64.08,£53.40
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685447,685 x 447,685,447,18,£71.71,£59.76
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685497,685 x 497,685,497,18,£78.89,£65.74
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685597,685 x 597,685,597,18,£91.34,£76.12
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685600LPANPTKT,Full Height L Shape Panel/Post Kit for base,685,600,18,£155.02,£129.18
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685900CPANPTKT,Full Height C Shape End Panel/Post Kit For 900 wide island,685,900,18,£198.32,£165.27
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685BASECRPOST,internal corner post: 685 x 70 x 70,685,70,70,£65.50,£54.58
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-685EXTCRPOST,external corner post: 685 x 46 x 46,685,46,46,£43.30,£36.08
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715147SLAB,715 x 147,715,147,18,£26.28,£21.90
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715277,715 x 277,715,277,18,£46.28,£38.57
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715297,715 x 297,715,297,18,£48.77,£40.64
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715315,715 x 315,715,315,18,£51.43,£42.86
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715347,715 x 347,715,347,18,£55.42,£46.18
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715397,715 x 397,715,397,18,£62.16,£51.80
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715397PF,715 x 397 plain frame,715,397,18,£96.98,£80.82
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715447,715 x 447,715,447,18,£68.83,£57.36
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715497,715 x 497,715,497,18,£74.38,£61.98
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715497PF,715 x 497 plain frame,715,497,18,£115.18,£95.98
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715547,715 x 547,715,547,18,£80.99,£67.49
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715597,715 x 597,715,597,18,£87.61,£73.01
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-715BASECRPOSTPR,internal corner posts: 715 x 70 x 18 (2no.),715,70,70,£49.51,£41.26
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-30MMCRPOST,30mm corner post: 720 x 30 x 30,720,30,30,£37.54,£31.28
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-825597,825 x 597,825,597,18,£79.27,£66.06
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-825597FD,825 x 597 with cross rail - top panel height 307mm,825,597,18,£89.08,£74.23
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-MANTLECORBALLRG,large mantle corbal: 850 x 150 x 448 includes 2 fixing brackets,850,450,150,£385.97,£321.64
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-MANTLECORLRGKT,large mantle corbal: 850 x 150 x 448 includes 2 fi xing brackets,850,100,100,£385.97,£321.64
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895297,895 x 297,895,297,18,£47.89,£39.91
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895297FD,895 x 297 with cross rail - top panel height 307mm,895,297,18,£53.81,£44.84
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895397,895 x 397,895,397,18,£61.51,£51.26
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895397FD,895 x 397 with cross rail - top panel height 307mm,895,397,18,£69.10,£57.58
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895447,895 x 447,895,447,18,£69.22,£57.68
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895447FD,895 x 447 with cross rail - top panel height 307mm,895,447,18,£77.77,£64.81
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895497,895 x 497,895,497,18,£75.13,£62.61
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895497FD,895 x 497 with cross rail - top panel height 307mm,895,497,18,£84.42,£70.35
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895497PF,895 x 497 plain frame,895,497,18,£137.47,£114.56
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895597,895 x 597,895,597,18,£91.49,£76.24
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-895597FD,895 x 597 with cross rail - top panel height 307mm,895,597,18,£105.77,£88.14
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM9001200BDPN,beaded end panel: 900 x 1200 x 18,900,1200,18,£207.95,£173.29
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM9001200PAN,plain end panel: 900 x 1200 x 18,900,1200,18,£164.02,£136.68
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM900650BDPN,beaded end panel: 900 x 650 x 18,900,650,18,£112.63,£93.86
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM900650PAN,plain end panel: 900 x 650 x 18,900,650,18,£88.84,£74.03
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-900MODPILASTER,modular pilaster: 900 x 75 x 75,900,75,75,£90.62,£75.52
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM960360BDPN,beaded end panel: 960 x 360 x 18,960,360,18,£67.46,£56.22
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM960360PAN,plain end panel: 960 x 360 x 18,960,360,18,£52.22,£43.52
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-980597,980 x 597,980,597,18,£119.44,£99.53
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1215497PF,1215 x 497 plain frame,1215,497,18,£158.10,£131.75
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1245297,1245 x 297,1245,297,18,£78.34,£65.28
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1245397,1245 x 397,1245,397,18,£101.64,£84.70
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1245497,1245 x 497,1245,497,18,£124.94,£104.12
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1245597,1245 x 597,1245,597,18,£148.18,£123.48
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1425297FD,1425 x 297 with cross rail - top panel height 307mm,1425,297,18,£101.78,£84.82
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1425597FD,1425 x 597 with cross rail - top panel height 307mm,1425,597,18,£183.52,£152.93
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1965297,1965 x 297,1965,297,18,£116.06,£96.72
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1965397,1965 x 397,1965,397,18,£150.89,£125.74
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1965497,1965 x 497,1965,497,18,£196.15,£163.46
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-1965597,1965 x 597,1965,597,18,£201.94,£168.28
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-28MMSHELF,flying shelf: 28 x 2400 x 325,2400,325,28,£230.64,£192.20
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM2430650BDPN,beaded tall end panel: 2430 x 650 x 18,2430,650,18,£323.76,£269.80
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM2430650PAN,plain end panel: 2430 x 650 x 18,2430,650,49,£255.86,£213.22
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM2430910BDPN,beaded tall end panel: 910 x 2430 x 18,2430,910,18,£407.45,£339.54
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-18MM2430910PAN,plain end panel: 910 x 2430 x 18,2430,910,18,£385.92,£321.60
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-2450QUADRANT,quadrant end moulding: 2450 x 50 x 70,2450,70,50,£92.03,£76.69
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-MOULDPLINTH,moulded modern plinth: 150 x 3050 x 20,2450,150,20,£76.06,£63.38
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-FEATPLINTH,feature plinth: 150 x 2500 x 9,2500,150,9,£40.63,£33.86
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-3000POST,tall feature end post: 3000 x 50 x 75,3000,75,50,£107.54,£89.62
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-CORNICE,cornice: 75 x 3050 x 82,3050,82,75,£101.76,£84.80
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-PLINTH,plinth: 150 x 3045 x 18,3050,150,18,£54.62,£45.52
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-SHELFEDGING,edge moulding: 27 x 3050 x 47.5,3050,47.5,27,£60.32,£50.27
Doors & Accessories,Clifden,CFPT,Clifden - Paint to Order,CFPT-UNIMOULDING,universal moulding: 35 x 3050 x 60,3050,60,35,£69.35,£57.79
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-115597,115 x 597 slab drawerfront,115,597,18,£14.80,£12.33
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140297,140 x 297 slab drawerfront,140,297,18,£10.88,£9.07
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140397,140 x 397 slab drawerfront,140,397,18,£12.85,£10.71
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140447,140 x 447 slab drawerfront,140,447,18,£13.84,£11.53
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140497,140 x 497 slab drawerfront,140,497,18,£14.81,£12.34
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140597,140 x 597 slab drawerfront,140,597,18,£16.81,£14.01
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140797,140 x 797 slab drawerfront,140,797,18,£20.17,£16.81
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140897,140 x 897 slab drawerfront,140,897,18,£22.09,£18.41
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-140997,140 x 997 slab drawerfront,140,997,18,£23.98,£19.98
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-175397,175 x 397 slab drawerfront,175,397,18,£16.43,£13.69
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-175497,175 x 497 slab drawerfront,175,497,18,£16.87,£14.06
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-175597,175 x 597 slab drawerfront,175,597,18,£19.28,£16.07
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-BRACKET,shelf bracket: 180 x 35 x 140 (1no.),180,140,35,£43.09,£35.91
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-283497,283 x 497 pan drawer,283,497,18,£24.80,£20.67
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-283597,283 x 597 pan drawer,283,597,18,£28.56,£23.80
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-283797,283 x 797 pan drawer,283,797,18,£36.02,£30.02
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-283897,283 x 897 pan drawer,283,897,18,£39.78,£33.15
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-283997,283 x 997 pan drawer,283,997,18,£43.57,£36.31
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-315457,315 x 457,315,457,18,£36.95,£30.79
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-18MM3251108PAN,half height plain end panel: 325 x 1108 x 18,325,1108,18,£39.37,£32.81
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-18MM325808PAN,half height plain end panel: 325 x 808 x 18,325,808,18,£37.15,£30.96
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-3251197,325 x 1197 pan drawer,325,1197,18,£88.06,£73.38
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-3251200CPANPTKT,Half Height C Shape End Panel/Post Kit For 1200 wide island,325,1200,18,£155.45,£129.54
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325497,325 x 497 pan drawer,325,497,18,£34.49,£28.74
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325597,325 x 597 pan drawer,325,597,18,£42.85,£35.71
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325600LPANPTKT,Half Height L Shape Panel/Post Kit for base unit,325,600,18,£99.78,£83.15
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325797,325 x 797 pan drawer,325,797,18,£54.11,£45.09
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325897,325 x 897 pan drawer,325,897,18,£62.65,£52.21
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325900CPANPTKT,Half Height C Shape End Panel/Post Kit For 900 wide island,325,900,18,£144.05,£120.04
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325997,325 x 997 pan drawer,325,997,18,£73.42,£61.18
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325BASECRPOST,half height internal corner post: 325 x 70 x 70,325,70,70,£51.07,£42.56
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-325EXTCRPOST,half height external corner post: 325 x 46 x 46,325,46,46,£44.26,£36.88
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-3551197,355 x 1197 pan drawer,355,1197,18,£76.49,£63.74
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-355497,355 x 497 pan drawer,355,497,18,£30.00,£25.00
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-355597,355 x 597 pan drawer,355,597,18,£34.78,£28.98
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-355797,355 x 797 pan drawer,355,797,18,£44.32,£36.93
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-355897,355 x 897 pan drawer,355,897,18,£49.06,£40.88
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-355997,355 x 997 pan drawer,355,997,18,£53.78,£44.82
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-400597,400 x 597,400,597,18,£47.00,£39.17
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-450597,450 x 597,450,597,18,£42.37,£35.31
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-495397,495 x 397,495,397,18,£32.47,£27.06
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-495497,495 x 497,495,497,18,£39.01,£32.51
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-495597,495 x 597,495,597,18,£45.56,£37.97
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-570297,570 x 297,570,297,18,£29.08,£24.23
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-570397,570 x 397,570,397,18,£36.66,£30.55
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-570447,570 x 447,570,447,18,£40.49,£33.74
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-570497,570 x 497,570,497,18,£44.33,£36.94
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-570597,570 x 597,570,597,18,£51.94,£43.28
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-645597,645 x 597,645,597,18,£57.26,£47.72
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-18MM6851108PAN,plain end panel: 685 x 1108 x 18,685,1108,18,£87.96,£73.30
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-18MM6851200PAN,plain end panel: 685 x 1200 x 18,685,1200,18,£111.16,£92.63
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-18MM685808PAN,plain end panel: 685 x 808 x 18,685,808,18,£76.37,£63.64
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-6851200CPANPTKT,Full Height C Shape End Panel/Post Kit For 1200 wide island,685,1200,18,£188.22,£156.85
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685397,685 x 397,685,397,18,£56.94,£47.45
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685447,685 x 447,685,447,18,£63.73,£53.11
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685497,685 x 497,685,497,18,£70.10,£58.42
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685597,685 x 597,685,597,18,£81.16,£67.63
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685600LPANPTKT,Full Height L Shape Panel/Post Kit for base,685,600,18,£131.45,£109.54
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685900CPANPTKT,Full Height C Shape End Panel/Post Kit For 900 wide island,685,900,18,£166.73,£138.94
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685BASECRPOST,internal corner post: 685 x 70 x 70,685,70,70,£53.36,£44.47
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-685EXTCRPOST,external corner post: 685 x 46 x 46,685,46,46,£35.28,£29.40
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715147SLAB,715 x 147,715,147,18,£18.77,£15.64
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715277,715 x 277,715,277,18,£33.07,£27.56
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715297,715 x 297,715,297,18,£34.84,£29.03
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715315,715 x 315,715,315,18,£36.74,£30.62
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715347,715 x 347,715,347,18,£39.60,£33.00
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715397,715 x 397,715,397,18,£44.41,£37.01
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715397PF,715 x 397 plain frame,715,397,18,£69.28,£57.73
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715447,715 x 447,715,447,18,£49.18,£40.98
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715497,715 x 497,715,497,18,£53.14,£44.28
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715497PF,715 x 497 plain frame,715,497,18,£82.30,£68.58
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715547,715 x 547,715,547,18,£57.86,£48.22
Doors & Accessories,Clifden,CFHG,Clifden - Heritage Green,CFHG-715597,715 x 597,715,597,18,£62.59,£52.16
